Id,Nombre,Apellido,Codigo De Vuelo, Tipo Pasajero, Estado Vuelo
1,Lou,González,BA2491A,10000.00,FirstClass,Aterrizado
2,Ulrike,Muñoz,IB0800A,25000.00,FirstClass,Aterrizado
3,Brade,Rojas,MM0987B,20000.00,FirstClass,En Horario
4,Kimbell,Díaz,BA2491A,50000.00,FirstClass,Aterrizado
5,Sheelagh,Pérez,IB0800A,18000.00,FirstClass,Aterrizado
6,Gayle,Soto,MM0987B,30000.00,FirstClass,En Horario
7,Kimberlee,Contreras,BA2491A,33000.00,FirstClass,Aterrizado
8,Henrieta,Silva,IB0800A,30000.00,FirstClass,Aterrizado
9,Jeanine,Martínez,MM0987B,18000.00,FirstClass,En Horario
10,Aggie,Sepúlveda,BA2491A,15000.00,FirstClass,Aterrizado
11,Brandea,Morales,IB0800A,15000.00,FirstClass,Aterrizado
12,Cordelie,Rodríguez,IB0800A,50000.00,FirstClass,Aterrizado
13,Shel,López,MM0987B,50000.00,FirstClass,En Horario
14,Bronnie,Fuentes,MM0987B,20000.00,FirstClass,En Horario
15,Megen,Hernández,BA2491A,10000.00,FirstClass,Aterrizado
16,Iver,Torres,BA2491A,12000.00,FirstClass,Aterrizado
17,Ernesta,Araya,BA2491A,37000.00,FirstClass,Aterrizado
18,Cirillo,Flores,MM0987B,50000.00,FirstClass,En Horario
19,Park,Espinoza,MM0987B,30000.00,FirstClass,En Horario
20,Bellanca,Valenzuela,BA2491A,15000.00,FirstClass,Aterrizado
21,Bobbye,Castillo,BA2491A,15000.00,FirstClass,Aterrizado
22,Eugene,Tapia,BA2491A,50000.00,FirstClass,Aterrizado
23,Johnny,Reyes,MM0987B,33000.00,FirstClass,En Horario
24,Reagen,Gutiérrez,MM0987B,42000.00,FirstClass,En Horario
25,Braden,Castro,MM0987B,25000.00,FirstClass,En Horario
26,Karim,Pizarro,MM0987B,25000.00,FirstClass,En Horario
27,Anthea,Álvarez,MM0987B,42000.00,FirstClass,En Horario
28,Doro,Vásquez,IB0800A,33000.00,FirstClass,Aterrizado
29,Gaye,Sánchez,IB0800A,37000.00,FirstClass,Aterrizado
30,Toby,Fernández,IB0800A,15000.00,FirstClass,Aterrizado
31,Franny,Ramírez,IB0800A,15000.00,FirstClass,Aterrizado
32,Katey,Carrasco,MM0987B,42000.00,FirstClass,En Horario
33,Earle,Gómez,BA2491A,10000.00,FirstClass,Aterrizado
34,Redd,Cortés,BA2491A,42000.00,FirstClass,Aterrizado
35,Jehanna,Herrera,BA2491A,50000.00,FirstClass,Aterrizado
36,Cristie,Núñez,BA2491A,10000.00,FirstClass,Aterrizado
37,Stefa,Jara,BA2491A,42000.00,FirstClass,Aterrizado
38,Roda,Vergara,MM0987B,25000.00,FirstClass,En Horario
39,Alfredo,Rivera,MM0987B,10000.00,FirstClass,En Horario
40,Sydney,Figueroa,MM0987B,10000.00,FirstClass,En Horario
41,Brnaba,Riquelme,MM0987B,30000.00,FirstClass,En Horario
45,Nikoletta,Vera,MM0987B,50000.00,FirstClass,En Horario
46,Lonnard,Molina,IB0800A,50000.00,FirstClass,Aterrizado
47,Raine,Vega,IB0800A,30000.00,FirstClass,Aterrizado
48,Noella,Campos,IB0800A,15000.00,FirstClass,Aterrizado
49,Dagmar,Sandoval,IB0800A,25000.00,FirstClass,Aterrizado
50,Carroll,Orellana,IB0800A,42000.00,FirstClass,Aterrizado
51,Marion,Cárdenas,IB0800A,50000.00,FirstClass,Aterrizado
52,Carline,Olivares,IB0800A,12000.00,FirstClass,Aterrizado
53,Hyacinthie,Alarcón,MM0987B,15000.00,FirstClass,En Horario
54,Julina,Gallardo,MM0987B,33000.00,FirstClass,En Horario
55,Corina,Ortiz,MM0987B,37000.00,FirstClass,En Horario
56,Bernardine,Garrido,MM0987B,33000.00,FirstClass,En Horario
57,Homer,Salazar,MM0987B,18000.00,FirstClass,En Horario
58,Lianna,Guzmán,MM0987B,12000.00,FirstClass,En Horario
59,Celene,Henríquez,MM0987B,50000.00,FirstClass,En Horario
60,Kori,Saavedra,MM0987B,50000.00,FirstClass,En Horario
61,Deeyn,Navarro,MM0987B,20000.00,FirstClass,En Horario
62,Marysa,Aguilera,MM0987B,20000.00,FirstClass,En Horario
63,Loy,Parra,MM0987B,15000.00,FirstClass,En Horario
64,Gabbey,Romero,MM0987B,37000.00,FirstClass,En Horario
65,Star,Aravena,MM0987B,33000.00,FirstClass,En Horario
66,Dominica,Vargas,IB0800A,33000.00,FirstClass,Aterrizado
67,Blanch,Vázquez,IB0800A,15000.00,FirstClass,Aterrizado
68,Cristobal,Cáceres,IB0800A,15000.00,FirstClass,Aterrizado
69,Paulita,Yáñez,IB0800A,50000.00,FirstClass,Aterrizado
70,Sayre,Leiva,IB0800A,33000.00,FirstClass,Aterrizado
71,Shaughn,Escobar,IB0800A,15000.00,FirstClass,Aterrizado
72,Katrine,Ruiz,IB0800A,25000.00,FirstClass,Aterrizado
73,Cristi,Valdés,IB0800A,42000.00,FirstClass,Aterrizado
86,Angie,Sanhueza,MM0987B,20000.00,FirstClass,En Horario
87,Joelle,Carvajal,MM0987B,37000.00,FirstClass,En Horario
