Id,Nombre,Apellido,Codigo De Vuelo, Tipo Pasajero, Estado Vuelo
27,Anthea,Álvarez,MM0987B,42000.00,FirstClass,En Horario
115,Harmon,Álvarez,IB0800A,50000.00,ExecutiveClass,Aterrizado
151,Meryl,Álvarez,IB0800A,12000.00,EconomyClass,Aterrizado
239,Chet,Álvarez,TU6789B,42000.00,FirstClass,Aterrizado
275,Charmian,Álvarez,TU6789B,15000.00,ExecutiveClass,Aterrizado
363,Neilla,Álvarez,TU6789B,50000.00,EconomyClass,Aterrizado
399,Esdras,Álvarez,MM0987B,37000.00,ExecutiveClass,En Horario
487,Rorie,Álvarez,GU2345F,25000.00,EconomyClass,En Vuelo
523,Eddy,Álvarez,GU2345F,12000.00,EconomyClass,En Vuelo
611,Pearla,Álvarez,HY4567D,20000.00,ExecutiveClass,Demorado
647,Felike,Álvarez,HY4567D,12000.00,EconomyClass,Demorado
735,Kaia,Álvarez,IB0800A,25000.00,EconomyClass,Aterrizado
771,Portia,Álvarez,FR5678G,33000.00,ExecutiveClass,En Horario
859,Abramo,Álvarez,FR5678G,37000.00,EconomyClass,En Horario
895,Frasquito,Álvarez,FR5678G,15000.00,EconomyClass,En Horario
983,Josi,Álvarez,BA2491A,12000.00,EconomyClass,Aterrizado
994,Raquela,Álvarez,MM0987B,12000.00,EconomyClass,En Horario
76,Nananne,Zúñiga,IB0800A,33000.00,ExecutiveClass,Aterrizado
200,Alana,Zúñiga,BA2491A,30000.00,EconomyClass,Aterrizado
324,Ad,Zúñiga,BA2491A,33000.00,EconomyClass,Aterrizado
448,Lenora,Zúñiga,GU2345F,18000.00,ExecutiveClass,En Vuelo
572,Antonella,Zúñiga,GU2345F,15000.00,EconomyClass,En Vuelo
696,Erhard,Zúñiga,HY4567D,33000.00,EconomyClass,Demorado
820,Mag,Zúñiga,FR5678G,12000.00,EconomyClass,En Horario
944,Isabeau,Zúñiga,BA2491A,37000.00,EconomyClass,Aterrizado
69,Paulita,Yáñez,IB0800A,50000.00,FirstClass,Aterrizado
193,Zolly,Yáñez,MM0987B,25000.00,ExecutiveClass,En Horario
317,Web,Yáñez,BA2491A,37000.00,EconomyClass,Aterrizado
441,Regine,Yáñez,GU2345F,10000.00,FirstClass,En Vuelo
565,Rutherford,Yáñez,GU2345F,15000.00,EconomyClass,En Vuelo
689,Terrence,Yáñez,HY4567D,42000.00,EconomyClass,Demorado
813,Agnes,Yáñez,FR5678G,42000.00,EconomyClass,En Horario
937,Randy,Yáñez,IB0800A,15000.00,EconomyClass,Aterrizado
67,Blanch,Vázquez,IB0800A,15000.00,FirstClass,Aterrizado
123,Pippa,Vázquez,IB0800A,20000.00,ExecutiveClass,Aterrizado
191,Bethina,Vázquez,MM0987B,15000.00,ExecutiveClass,En Horario
247,Dotty,Vázquez,TU6789B,42000.00,ExecutiveClass,Aterrizado
315,Timothea,Vázquez,TU6789B,20000.00,EconomyClass,Aterrizado
371,Franni,Vázquez,TU6789B,42000.00,EconomyClass,Aterrizado
439,Leelah,Vázquez,GU2345F,25000.00,FirstClass,En Vuelo
495,Willey,Vázquez,GU2345F,15000.00,EconomyClass,En Vuelo
563,Keith,Vázquez,GU2345F,10000.00,EconomyClass,En Vuelo
619,Lyndsay,Vázquez,HY4567D,42000.00,ExecutiveClass,Demorado
687,Devondra,Vázquez,HY4567D,10000.00,EconomyClass,Demorado
743,Pancho,Vázquez,FR5678G,18000.00,FirstClass,En Horario
811,Susi,Vázquez,FR5678G,18000.00,EconomyClass,En Horario
867,Emmanuel,Vázquez,FR5678G,30000.00,EconomyClass,En Horario
935,Jillane,Vázquez,IB0800A,37000.00,EconomyClass,Aterrizado
991,Zaccaria,Vázquez,MM0987B,33000.00,EconomyClass,En Horario
28,Doro,Vásquez,IB0800A,33000.00,FirstClass,Aterrizado
152,Babbie,Vásquez,IB0800A,15000.00,EconomyClass,Aterrizado
276,Dru,Vásquez,TU6789B,50000.00,ExecutiveClass,Aterrizado
400,Prince,Vásquez,MM0987B,25000.00,EconomyClass,En Horario
524,Janey,Vásquez,GU2345F,42000.00,EconomyClass,En Vuelo
648,Ethan,Vásquez,HY4567D,12000.00,EconomyClass,Demorado
772,Alica,Vásquez,FR5678G,37000.00,ExecutiveClass,En Horario
896,Oberon,Vásquez,FR5678G,15000.00,EconomyClass,En Horario
74,Cristie,Vidal,IB0800A,25000.00,ExecutiveClass,Aterrizado
198,Eleonora,Vidal,BA2491A,42000.00,EconomyClass,Aterrizado
322,Richard,Vidal,BA2491A,42000.00,EconomyClass,Aterrizado
446,Rina,Vidal,GU2345F,20000.00,ExecutiveClass,En Vuelo
570,Retha,Vidal,GU2345F,15000.00,EconomyClass,En Vuelo
694,Terrie,Vidal,HY4567D,42000.00,EconomyClass,Demorado
818,Hyatt,Vidal,FR5678G,20000.00,EconomyClass,En Horario
942,Vernen,Vidal,IB0800A,18000.00,EconomyClass,Aterrizado
38,Roda,Vergara,MM0987B,25000.00,FirstClass,En Horario
162,Ofella,Vergara,IB0800A,50000.00,EconomyClass,Aterrizado
286,Jodi,Vergara,BA2491A,30000.00,EconomyClass,Aterrizado
410,Fidelia,Vergara,TU6789B,12000.00,EconomyClass,Aterrizado
534,Bunnie,Vergara,GU2345F,33000.00,EconomyClass,En Vuelo
658,Dorrie,Vergara,HY4567D,42000.00,EconomyClass,Demorado
782,Laughton,Vergara,FR5678G,15000.00,ExecutiveClass,En Horario
906,Lynn,Vergara,BR3456J,37000.00,ExecutiveClass,Demorado
45,Nikoletta,Vera,MM0987B,50000.00,FirstClass,En Horario
169,Farley,Vera,IB0800A,12000.00,EconomyClass,Aterrizado
293,Russell,Vera,BA2491A,50000.00,EconomyClass,Aterrizado
417,Sibley,Vera,TU6789B,20000.00,EconomyClass,Aterrizado
541,Deny,Vera,GU2345F,18000.00,EconomyClass,En Vuelo
665,Wheeler,Vera,HY4567D,25000.00,EconomyClass,Demorado
789,Florella,Vera,FR5678G,25000.00,ExecutiveClass,En Horario
913,Anetta,Vera,MM0987B,10000.00,EconomyClass,En Horario
96,Martino,Venegas,IB0800A,15000.00,ExecutiveClass,Aterrizado
220,Mozes,Venegas,TU6789B,25000.00,FirstClass,Aterrizado
344,Genevra,Venegas,TU6789B,10000.00,EconomyClass,Aterrizado
468,Kendell,Venegas,GU2345F,25000.00,ExecutiveClass,En Vuelo
592,Corabelle,Venegas,HY4567D,37000.00,FirstClass,Demorado
716,Elita,Venegas,IB0800A,18000.00,EconomyClass,Aterrizado
840,Wadsworth,Venegas,FR5678G,30000.00,EconomyClass,En Horario
964,Ansley,Venegas,BR3456J,37000.00,EconomyClass,Demorado
47,Raine,Vega,IB0800A,30000.00,FirstClass,Aterrizado
171,Clair,Vega,IB0800A,37000.00,EconomyClass,Aterrizado
295,Catriona,Vega,TU6789B,42000.00,ExecutiveClass,Aterrizado
419,Ed,Vega,TU6789B,18000.00,EconomyClass,Aterrizado
543,Margeaux,Vega,GU2345F,18000.00,EconomyClass,En Vuelo
667,Kennan,Vega,HY4567D,12000.00,EconomyClass,Demorado
791,Ki,Vega,FR5678G,42000.00,ExecutiveClass,En Horario
915,Tyrone,Vega,MM0987B,15000.00,EconomyClass,En Horario
66,Dominica,Vargas,IB0800A,33000.00,FirstClass,Aterrizado
190,Waldon,Vargas,MM0987B,30000.00,ExecutiveClass,En Horario
314,Charisse,Vargas,TU6789B,50000.00,EconomyClass,Aterrizado
438,Gardie,Vargas,GU2345F,12000.00,FirstClass,En Vuelo
562,Erica,Vargas,GU2345F,10000.00,EconomyClass,En Vuelo
686,Rosalyn,Vargas,HY4567D,37000.00,EconomyClass,Demorado
810,Efrem,Vargas,FR5678G,20000.00,EconomyClass,En Horario
934,Dorette,Vargas,IB0800A,37000.00,EconomyClass,Aterrizado
20,Bellanca,Valenzuela,BA2491A,15000.00,FirstClass,Aterrizado
144,Flora,Valenzuela,IB0800A,33000.00,EconomyClass,Aterrizado
268,Channa,Valenzuela,TU6789B,50000.00,ExecutiveClass,Aterrizado
392,Vikki,Valenzuela,MM0987B,33000.00,ExecutiveClass,En Horario
516,Pernell,Valenzuela,GU2345F,50000.00,EconomyClass,En Vuelo
640,Wolfy,Valenzuela,HY4567D,33000.00,EconomyClass,Demorado
764,Roslyn,Valenzuela,FR5678G,10000.00,FirstClass,En Horario
888,Katlin,Valenzuela,FR5678G,25000.00,EconomyClass,En Horario
73,Cristi,Valdés,IB0800A,42000.00,FirstClass,Aterrizado
197,Alasteir,Valdés,BA2491A,20000.00,ExecutiveClass,Aterrizado
321,Wilona,Valdés,BA2491A,25000.00,EconomyClass,Aterrizado
445,Ozzie,Valdés,GU2345F,20000.00,ExecutiveClass,En Vuelo
569,Carter,Valdés,GU2345F,33000.00,EconomyClass,En Vuelo
693,Baxy,Valdés,HY4567D,20000.00,EconomyClass,Demorado
817,Cynthia,Valdés,FR5678G,25000.00,EconomyClass,En Horario
941,Nina,Valdés,IB0800A,25000.00,EconomyClass,Aterrizado
16,Iver,Torres,BA2491A,12000.00,FirstClass,Aterrizado
121,Patrizio,Torres,IB0800A,15000.00,ExecutiveClass,Aterrizado
140,Corbin,Torres,BA2491A,42000.00,ExecutiveClass,Aterrizado
245,Donal,Torres,TU6789B,18000.00,ExecutiveClass,Aterrizado
264,Stephen,Torres,TU6789B,37000.00,ExecutiveClass,Aterrizado
369,Deni,Torres,TU6789B,42000.00,EconomyClass,Aterrizado
388,Shauna,Torres,TU6789B,25000.00,EconomyClass,Aterrizado
493,Joshia,Torres,GU2345F,33000.00,EconomyClass,En Vuelo
512,Bird,Torres,MM0987B,18000.00,EconomyClass,En Horario
617,Kirk,Torres,HY4567D,30000.00,ExecutiveClass,Demorado
636,Abigail,Torres,HY4567D,18000.00,EconomyClass,Demorado
741,Carleton,Torres,FR5678G,15000.00,FirstClass,En Horario
760,Sidonia,Torres,FR5678G,10000.00,FirstClass,En Horario
865,Devonna,Torres,FR5678G,18000.00,EconomyClass,En Horario
884,Lona,Torres,FR5678G,30000.00,EconomyClass,En Horario
989,Wandie,Torres,BA2491A,25000.00,EconomyClass,Aterrizado
1000,Saleem,Torres,MM0987B,20000.00,EconomyClass,En Horario
94,My,Toro,MM0987B,18000.00,ExecutiveClass,En Horario
218,Romola,Toro,TU6789B,50000.00,FirstClass,Aterrizado
342,Floria,Toro,TU6789B,12000.00,EconomyClass,Aterrizado
466,Carlye,Toro,GU2345F,37000.00,ExecutiveClass,En Vuelo
590,Trumaine,Toro,HY4567D,15000.00,FirstClass,Demorado
714,Jerrylee,Toro,HY4567D,10000.00,EconomyClass,Demorado
838,Hashim,Toro,FR5678G,50000.00,EconomyClass,En Horario
962,Burty,Toro,BR3456J,12000.00,EconomyClass,Demorado
22,Eugene,Tapia,BA2491A,50000.00,FirstClass,Aterrizado
146,Armand,Tapia,IB0800A,15000.00,EconomyClass,Aterrizado
270,Edlin,Tapia,TU6789B,20000.00,ExecutiveClass,Aterrizado
394,Gaelan,Tapia,MM0987B,25000.00,ExecutiveClass,En Horario
518,Erda,Tapia,GU2345F,37000.00,EconomyClass,En Vuelo
642,Elinor,Tapia,HY4567D,33000.00,EconomyClass,Demorado
766,Toby,Tapia,FR5678G,20000.00,ExecutiveClass,En Horario
890,Madel,Tapia,FR5678G,12000.00,EconomyClass,En Horario
29,Gaye,Sánchez,IB0800A,37000.00,FirstClass,Aterrizado
106,Nance,Sánchez,MM0987B,10000.00,ExecutiveClass,En Horario
153,Byram,Sánchez,IB0800A,42000.00,EconomyClass,Aterrizado
230,Liana,Sánchez,TU6789B,33000.00,FirstClass,Aterrizado
277,Kiel,Sánchez,TU6789B,50000.00,ExecutiveClass,Aterrizado
354,Kurtis,Sánchez,TU6789B,50000.00,EconomyClass,Aterrizado
401,Vail,Sánchez,MM0987B,33000.00,EconomyClass,En Horario
478,Brooke,Sánchez,GU2345F,20000.00,EconomyClass,En Vuelo
525,Edan,Sánchez,GU2345F,20000.00,EconomyClass,En Vuelo
602,Brian,Sánchez,HY4567D,20000.00,FirstClass,Demorado
649,Ruthy,Sánchez,HY4567D,20000.00,EconomyClass,Demorado
726,Jonathon,Sánchez,IB0800A,50000.00,EconomyClass,Aterrizado
773,Juliana,Sánchez,FR5678G,50000.00,ExecutiveClass,En Horario
850,Amanda,Sánchez,FR5678G,37000.00,EconomyClass,En Horario
897,Gabriell,Sánchez,FR5678G,10000.00,EconomyClass,En Horario
974,Herrick,Sánchez,IB0800A,30000.00,EconomyClass,Aterrizado
89,Guenevere,Sáez,MM0987B,30000.00,ExecutiveClass,En Horario
213,Darwin,Sáez,TU6789B,18000.00,FirstClass,Aterrizado
337,Lira,Sáez,TU6789B,30000.00,EconomyClass,Aterrizado
